AgentID,AgentName,AgencyName,AgentPhone,AgentEmail,OfficeLocation
AGT598,Todd Reynolds,Home Finders,2348056226575,bartonkenneth@gmail.com,"Nasarawa, Kano"
AGT599,Justin Hunt,Nest Away,2348042595918,davisangela@george.com,"Port Harcourt, Rivers"
AGT600,Jeffrey Fisher,Home Finders,2348012058055,wardsheryl@hotmail.com,"Kano, Kano"
AGT601,Rodney Curtis,Home Finders,2348059755172,malik37@thompson-sanders.com,"Bonny, Rivers"
AGT602,Randall Johnson,Nest Away,2348071851421,samuelcarter@hotmail.com,"Nasarawa, Kano"
AGT603,Jonathon Knapp,Home Finders,2348018113477,gibbsmichael@hotmail.com,"Asokoro, Abuja FCT"
AGT604,Kristin Watts,Home Finders,2348045879718,dbrooks@chapman.com,"Kano, Kano"
AGT605,Andrew Page,Home Finders,2348085947990,deborah23@thompson.info,"Surulere, Lagos"
AGT606,Amy Garcia,Home Finders,2348085693188,mark71@lambert-burns.com,"Nasarawa, Kano"
AGT607,Kayla Barnes,Home Finders,2348095110541,fhenderson@medina.com,"Fagge, Kano"
AGT608,Michael Perry PhD,Home Finders,2348058412365,christopherjohnson@gmail.com,"Garki, Abuja FCT"
AGT609,Nicole Wolf,Nest Away,2348011656329,veronicagarcia@hotmail.com,"Fagge, Kano"
AGT610,Daniel Clark,Home Finders,2348058469365,amanda98@morris.com,"Port Harcourt, Rivers"
AGT611,Danielle Dawson,Nest Away,2348052168966,kburns@adams.com,"Asokoro, Abuja FCT"
AGT612,Samantha Simpson,Home Finders,2348064914054,matthew92@hotmail.com,"Lekki, Lagos"
AGT613,Shannon Mcdowell,Home Finders,2348043316996,john52@sanders.com,"Lekki, Lagos"
AGT614,Benjamin Reyes,Home Finders,2348013296743,edwardsnicole@reyes.com,"Ibadan, Oyo"
AGT615,Leah Cruz,Home Finders,2348056047142,kylie34@hotmail.com,"Oyo Town, Oyo"
AGT616,Brian Porter MD,Nest Away,2348010597274,sarah26@fisher.info,"Lekki, Lagos"
AGT617,Martin Medina,Home Finders,2348057242616,christopher18@mccann.net,"Obio-Akpor, Rivers"
AGT618,Lee Parker,Nest Away,2348034931439,smithderrick@martin.net,"Obio-Akpor, Rivers"
AGT619,Ian Porter,Nest Away,2348075998330,eric19@sharp.com,"Asokoro, Abuja FCT"
AGT620,Jonathan Winters,Nest Away,2348059239353,lindajarvis@jones-marshall.com,"Kano, Kano"
AGT621,Kimberly Flynn,Home Finders,2348092698414,randolphandrew@reed.com,"Kano, Kano"
AGT622,David Bruce,Home Finders,2348029628462,stephen19@gmail.com,"Port Harcourt, Rivers"
AGT623,Benjamin Harris,Home Finders,2348018500100,danielcole@russell-herrera.com,"Ogbomosho, Oyo"
AGT624,Tracy Foster,Nest Away,2348071272827,jorge20@bond-hawkins.net,"Yaba, Lagos"
AGT625,Austin Orr,Home Finders,2348073995913,christopherboone@yahoo.com,"Port Harcourt, Rivers"
AGT626,Denise Griffin,Nest Away,2348027870584,mendezchristina@phillips.com,"Ikeja, Lagos"
AGT627,Jasmine White,Home Finders,2348028767690,anthonycochran@yahoo.com,"Fagge, Kano"
AGT628,Wendy Thompson,Nest Away,2348019531069,linda59@warner.org,"Port Harcourt, Rivers"
AGT629,Joseph Smith,Nest Away,2348063992760,matthewthompson@brown-hernandez.com,"Surulere, Lagos"
AGT630,Marie Thompson,Home Finders,2348068315400,elizabetholsen@yahoo.com,"Bonny, Rivers"
AGT631,Ashley Crawford,Home Finders,2348067622968,youngtoni@gmail.com,"Oyo Town, Oyo"
AGT632,James Payne Jr.,Home Finders,2348042823140,franciscojones@gmail.com,"Yaba, Lagos"
AGT633,Tommy Martin,Home Finders,2348039955391,brianrivera@gmail.com,"Ikeja, Lagos"
AGT634,Rodney Weber,Home Finders,2348010856024,collinclark@hotmail.com,"Ibadan, Oyo"
AGT635,Jeremy Baker,Home Finders,2348079760901,jeremy49@gmail.com,"Ikorodu, Lagos"
AGT636,Karen Miller,Nest Away,2348046501299,davidtodd@rush.com,"Ibadan, Oyo"
AGT637,Shane Buchanan,Home Finders,2348090973889,perryeddie@hotmail.com,"Port Harcourt, Rivers"
AGT638,Amanda Hill,Home Finders,2348039835008,vwilliams@young.com,"Port Harcourt, Rivers"
AGT639,Thomas Russell,Nest Away,2348076588957,lori82@gmail.com,"Bonny, Rivers"
AGT640,John Sanders,Home Finders,2348096255361,allentracy@thompson-harrell.org,"Lekki, Lagos"
AGT641,Maria Byrd,Nest Away,2348041240803,xpalmer@hotmail.com,"Ibadan, Oyo"
AGT642,Eric Meyer,Nest Away,2348035264294,smithyvonne@yahoo.com,"Surulere, Lagos"
AGT643,Chris Cannon,Home Finders,2348029825571,rguerrero@griffith.info,"Oyo Town, Oyo"
AGT644,Sara Walter,Home Finders,2348099326148,connor24@stokes.com,"Port Harcourt, Rivers"
AGT645,Lauren Blackburn,Home Finders,2348056548066,gpreston@dillon.net,"Lekki, Lagos"
AGT646,William Edwards,Nest Away,2348060829941,hayesjason@johnston.info,"Obio-Akpor, Rivers"
AGT647,Nicole Schmidt,Home Finders,2348089729429,simsjohn@wiley.net,"Bonny, Rivers"
AGT648,Colin Vaughan,Nest Away,2348083774469,perezjessica@gmail.com,"Ibadan, Oyo"
AGT649,Amber Wilson,Nest Away,2348098723294,qmartinez@yahoo.com,"Port Harcourt, Rivers"
AGT650,Brian Rodriguez,Home Finders,2348082672055,kimberlydecker@howard.com,"Surulere, Lagos"
AGT651,Penny Jones,Home Finders,2348070269093,dawn74@marshall-garcia.com,"Kano, Kano"
AGT652,Anna Briggs,Home Finders,2348079751366,moralessuzanne@houston-vaughn.info,"Port Harcourt, Rivers"
AGT653,Michael Roberson,Home Finders,2348033112256,hknapp@alexander-brown.com,"Ogbomosho, Oyo"
AGT654,Kristin Huerta,Home Finders,2348069473299,schneidereric@christian-booth.com,"Ogbomosho, Oyo"
AGT655,Joan Gates,Home Finders,2348035872271,david70@gmail.com,"Kano, Kano"
AGT656,Ruth Richard,Home Finders,2348031946425,xmoran@hotmail.com,"Obio-Akpor, Rivers"
AGT657,Natalie Ortiz,Home Finders,2348043875271,jacobconrad@yahoo.com,"Bonny, Rivers"
AGT658,Sara Webb,Nest Away,2348018568064,jessicaanderson@sandoval-obrien.com,"Fagge, Kano"
AGT659,Nicole Evans,Home Finders,2348088252116,jamesweber@yahoo.com,"Ibadan, Oyo"
AGT660,Jenny Smith,Home Finders,2348039974566,jamesbrian@gonzalez.com,"Fagge, Kano"
AGT661,Tammy Hughes,Nest Away,2348071414198,smithjohn@hotmail.com,"Wuse, Abuja FCT"
AGT662,Justin Anderson,Nest Away,2348067582820,riverajenna@gmail.com,"Yaba, Lagos"
AGT663,Emily Robinson,Home Finders,2348018762675,hartmanerik@herrera.com,"Ikorodu, Lagos"
AGT664,Lisa Haley,Home Finders,2348097314051,hmoon@yahoo.com,"Yaba, Lagos"
AGT665,Tiffany Jackson,Nest Away,2348098807116,clarkcrystal@hancock.com,"Wuse, Abuja FCT"
AGT666,Roberto Bartlett,Home Finders,2348015288944,zhayes@yahoo.com,"Fagge, Kano"
AGT667,Jessica Foster,Home Finders,2348072314252,omoore@francis.com,"Ibadan, Oyo"
AGT668,Matthew Hunt,Home Finders,2348055999465,jeffreydavenport@wilson.org,"Ibadan, Oyo"
AGT669,Benjamin Lee,Home Finders,2348092050405,qmurphy@yahoo.com,"Ikorodu, Lagos"
AGT670,Ian Frazier,Home Finders,2348074683506,wford@yahoo.com,"Nasarawa, Kano"
AGT671,Kevin Sullivan,Nest Away,2348041541166,arnoldamy@kennedy.com,"Yaba, Lagos"
AGT672,Krystal Brennan,Nest Away,2348055748676,ccrosby@juarez.com,"Kano, Kano"
AGT673,Michael Boyd,Nest Away,2348028850770,beth92@yahoo.com,"Kano, Kano"
AGT674,Jessica Hall,Nest Away,2348010582186,edwardmoore@hotmail.com,"Obio-Akpor, Rivers"
AGT675,Andrew Berry,Nest Away,2348056017729,crystalwilliams@thomas.net,"Bonny, Rivers"
AGT676,Ronald Burke,Home Finders,2348085467972,gary57@garza.com,"Nasarawa, Kano"
AGT677,Matthew Winters,Home Finders,2348018325904,xboyd@wolfe.com,"Maitama, Abuja FCT"
AGT678,Kelly Brooks,Nest Away,2348069467023,robert12@pearson-king.net,"Nasarawa, Kano"
AGT679,Patricia Sanders,Home Finders,2348031599504,adkinssean@avery.com,"Ikorodu, Lagos"
AGT680,Andrew Cruz,Nest Away,2348031390345,jennifer90@gmail.com,"Oyo Town, Oyo"
AGT681,Christopher Shea,Home Finders,2348053075436,elizabeth69@gmail.com,"Ibadan, Oyo"
AGT682,Jared Smith,Home Finders,2348066936428,jhunter@gordon.com,"Maitama, Abuja FCT"
AGT683,Connie Haynes,Home Finders,2348064711545,hmoses@hotmail.com,"Ogbomosho, Oyo"
AGT684,Cynthia Allen,Nest Away,2348063031203,jermaineconley@hotmail.com,"Ogbomosho, Oyo"
AGT685,William Moon IV,Nest Away,2348083487621,brianlloyd@ayers-johnson.com,"Ikorodu, Lagos"
AGT686,John Austin,Home Finders,2348019041276,victorclark@hotmail.com,"Ikeja, Lagos"
AGT687,Cassandra Porter,Nest Away,2348086082915,jevans@hotmail.com,"Fagge, Kano"
AGT688,Bryan Dillon,Home Finders,2348096644469,tiffanymitchell@nunez-freeman.info,"Ibadan, Oyo"
AGT689,Greg Edwards,Nest Away,2348039971710,catherine64@yahoo.com,"Nasarawa, Kano"
AGT690,Allison Sanders,Home Finders,2348045481411,bakereric@huynh.com,"Ibadan, Oyo"
AGT691,Wayne Wolfe,Home Finders,2348088876916,owelch@graham.com,"Nasarawa, Kano"
AGT692,Joseph Watts,Home Finders,2348090801793,xevans@yahoo.com,"Oyo Town, Oyo"
AGT693,James Baker,Home Finders,2348044663022,zacharymarsh@hotmail.com,"Nasarawa, Kano"
AGT694,Wayne Johnson,Nest Away,2348089268452,joseph70@davis.info,"Maitama, Abuja FCT"
AGT695,Ryan Roth,Nest Away,2348082381739,villegasjennifer@wise-ramos.com,"Nasarawa, Kano"
AGT696,Mark Gonzalez,Home Finders,2348090301439,teresayoung@nguyen-jackson.com,"Asokoro, Abuja FCT"
AGT697,Christian Herrera,Nest Away,2348059075919,tonystewart@kramer.info,"Fagge, Kano"
AGT698,Erica Mcdonald,Nest Away,2348063762374,schmidtshannon@weaver-gibson.net,"Obio-Akpor, Rivers"
AGT699,Frank Davis,Nest Away,2348098070348,conleydavid@harris.com,"Ikorodu, Lagos"
AGT700,Christine Henry,Home Finders,2348099880518,dowen@grant-hurley.biz,"Yaba, Lagos"
AGT701,Cassidy Curry,Home Finders,2348033492771,mirandabarbara@hotmail.com,"Garki, Abuja FCT"
AGT702,Kristine Lewis,Nest Away,2348025605267,suzanne76@gmail.com,"Ibadan, Oyo"
AGT703,Kayla Duncan,Home Finders,2348087002404,johnsonmichael@baker.com,"Kano, Kano"
AGT704,Laura Miller,Nest Away,2348059821155,michael66@kane.org,"Bonny, Rivers"
AGT705,Ann Reynolds,Home Finders,2348011129926,davidmiller@hotmail.com,"Maitama, Abuja FCT"
AGT706,Benjamin Frank,Home Finders,2348070495821,rodriguezrobert@yahoo.com,"Maitama, Abuja FCT"
AGT707,James Todd,Nest Away,2348050269906,singhjohn@mcintosh.com,"Obio-Akpor, Rivers"
AGT708,Mary Williams,Home Finders,2348057122567,campbellkristina@nelson.com,"Kano, Kano"
AGT709,Kari Harper,Home Finders,2348020618223,jamesrasmussen@house.net,"Wuse, Abuja FCT"
AGT710,James Cooke,Home Finders,2348032402343,jeremiah56@taylor.org,"Garki, Abuja FCT"
AGT711,Melinda Harris,Nest Away,2348032898616,haley82@forbes-daugherty.com,"Garki, Abuja FCT"
AGT712,Timothy Shannon,Home Finders,2348069305486,kimberlyrodriguez@gmail.com,"Fagge, Kano"
AGT713,Samuel Henry,Home Finders,2348083579795,jamesjohnson@schaefer.com,"Lekki, Lagos"
AGT714,Samantha Cortez,Nest Away,2348035233016,meyershannon@gmail.com,"Kano, Kano"
AGT715,Thomas Vaughn,Home Finders,2348041247296,cgallegos@sharp.com,"Lekki, Lagos"
AGT716,Jerry Cox,Home Finders,2348043565097,nicholasjames@gmail.com,"Port Harcourt, Rivers"
AGT717,Carlos Harris,Home Finders,2348074589542,ellismelissa@hotmail.com,"Maitama, Abuja FCT"
AGT718,Kristin Bryan,Home Finders,2348022009789,eddiedelgado@thomas.org,"Kano, Kano"
AGT719,Edwin Richardson,Home Finders,2348028083446,changmegan@gmail.com,"Ibadan, Oyo"
AGT720,Ryan Green,Nest Away,2348059273033,christinacrawford@hotmail.com,"Kano, Kano"
AGT721,Gene Castro,Nest Away,2348048000942,davidsonhannah@tyler-parker.net,"Fagge, Kano"
AGT722,Joe Grimes,Home Finders,2348039624910,abowers@hotmail.com,"Nasarawa, Kano"
AGT723,Sarah Duncan,Home Finders,2348038977615,brookehancock@yahoo.com,"Ibadan, Oyo"
AGT724,Susan Wallace,Nest Away,2348055300210,jstein@peterson.net,"Obio-Akpor, Rivers"
AGT725,Stephen Garcia,Nest Away,2348063296593,lanelarry@gmail.com,"Nasarawa, Kano"
AGT726,Gregory Flores,Home Finders,2348015064880,audrey21@austin-morgan.info,"Fagge, Kano"
AGT727,Melissa Jensen,Home Finders,2348087347488,lisa81@yahoo.com,"Garki, Abuja FCT"
AGT728,Jack White,Home Finders,2348016780654,shawn01@yahoo.com,"Fagge, Kano"
AGT729,Jennifer Gutierrez,Home Finders,2348028102047,terrireyes@clark-benson.biz,"Obio-Akpor, Rivers"
AGT730,Casey Blanchard,Home Finders,2348032717056,jenningscandace@murphy-newman.com,"Oyo Town, Oyo"
AGT731,Emily Hudson,Nest Away,2348013053200,wrobbins@gmail.com,"Lekki, Lagos"
AGT732,Kevin Garrett,Home Finders,2348062163068,ijames@gmail.com,"Wuse, Abuja FCT"
AGT733,Matthew Thomas,Home Finders,2348075757673,iproctor@gmail.com,"Lekki, Lagos"
AGT734,Jonathan Simon,Nest Away,2348079889565,khouse@yahoo.com,"Oyo Town, Oyo"
AGT735,Mark Alvarado,Home Finders,2348098077934,chloe58@harrison.info,"Ibadan, Oyo"
AGT736,William Lamb,Home Finders,2348092138779,todd28@york.com,"Wuse, Abuja FCT"
AGT737,Joseph Johnson,Home Finders,2348035938895,caitlinunderwood@mullins-gutierrez.biz,"Garki, Abuja FCT"
AGT738,Nicole Patel,Nest Away,2348092074794,jwells@hotmail.com,"Obio-Akpor, Rivers"
AGT739,Robert Scott,Nest Away,2348032345453,vmejia@gmail.com,"Ogbomosho, Oyo"
AGT740,Andrew Harvey,Home Finders,2348043565477,stephanielittle@rosario.biz,"Maitama, Abuja FCT"
AGT741,Mary Carrillo,Home Finders,2348034007090,kimberlyramirez@gmail.com,"Ogbomosho, Oyo"
AGT742,Susan Baldwin,Nest Away,2348098512648,jonesashley@waters-smith.info,"Yaba, Lagos"
AGT743,Jared Luna,Home Finders,2348016580878,aaronfinley@martinez-nichols.com,"Yaba, Lagos"
AGT744,Julian Ponce,Home Finders,2348046831833,heather15@miller-chen.com,"Nasarawa, Kano"
AGT745,Anthony French,Nest Away,2348094806492,zwilson@contreras.net,"Fagge, Kano"
AGT746,Summer Hoover,Home Finders,2348044147341,lcarr@meyers.com,"Fagge, Kano"
AGT747,Rebecca Duran,Home Finders,2348094181424,bryan42@jackson-wood.com,"Obio-Akpor, Rivers"
AGT748,Brandon Pearson,Nest Away,2348094088862,ysteele@yahoo.com,"Lekki, Lagos"
AGT749,David Wilson,Home Finders,2348025063426,michelle88@marshall.com,"Ibadan, Oyo"
AGT750,Dominique Hamilton,Home Finders,2348051739205,vwilliams@gmail.com,"Surulere, Lagos"
AGT751,David Gutierrez,Home Finders,2348046726921,evance@richards-brown.biz,"Ibadan, Oyo"
AGT752,Samuel Ellis,Home Finders,2348024217270,jeffrey49@clarke.org,"Port Harcourt, Rivers"
AGT753,Kevin Snow,Home Finders,2348040037183,butlerbradley@quinn-gordon.biz,"Surulere, Lagos"
AGT754,Eric Warner,Nest Away,2348023815327,iford@sullivan.info,"Obio-Akpor, Rivers"
AGT755,Susan Cox,Nest Away,2348086129797,reyessteven@diaz.net,"Surulere, Lagos"
AGT756,Mr. Bryan Mckinney,Nest Away,2348096568973,zoliver@hotmail.com,"Kano, Kano"
AGT757,Jason Fleming,Home Finders,2348088212291,creed@newman.com,"Nasarawa, Kano"
AGT758,David Washington,Nest Away,2348064496780,hernandezjustin@gmail.com,"Bonny, Rivers"
AGT759,Michael Wade,Nest Away,2348098305426,nathanfernandez@gmail.com,"Lekki, Lagos"
AGT760,Elizabeth Kemp,Nest Away,2348076861495,hmorgan@mendoza.com,"Wuse, Abuja FCT"
AGT761,Anita Hunt,Home Finders,2348073411376,mstewart@harding.com,"Nasarawa, Kano"
AGT762,Donna Shaffer,Home Finders,2348094463223,ltaylor@hotmail.com,"Maitama, Abuja FCT"
AGT763,Joel Bradley,Nest Away,2348030285078,jacobjames@henry.org,"Ogbomosho, Oyo"
AGT764,Terry Newman,Nest Away,2348056315279,hubbardtrevor@george.org,"Wuse, Abuja FCT"
AGT765,Shawn Taylor,Home Finders,2348081308986,nelsonrobert@williams-carter.com,"Ogbomosho, Oyo"
AGT766,Anne Carpenter,Home Finders,2348019120357,taylorjuan@jenkins-mccall.com,"Asokoro, Abuja FCT"
AGT767,Jack Montoya,Nest Away,2348098099795,jenniferjohnson@gmail.com,"Lekki, Lagos"
AGT768,Andrew Keller,Home Finders,2348033881291,qwilson@jones.com,"Port Harcourt, Rivers"
AGT769,Andrea Weiss,Home Finders,2348076800348,jenniferbrandt@winters.com,"Ikeja, Lagos"
